start,end,dt,monthly_ocupancy,daily_ocupancy,hourly_ocupancy,monthly_vacant,daily_vacant,hourly_vacant,hourly_freq,daily_freq,holiday_score,date_only
2020-01-03 08:35:00,2020-01-04 08:35:00,24.0,260,2,1,255,4,1,0,-2,0,2020-01-03
2020-01-04 08:25:00,2020-01-05 08:25:00,24.0,260,7,4,255,8,2,2,-1,0,2020-01-04
2020-01-04 09:30:00,2020-01-05 09:30:00,24.0,260,7,2,255,8,2,0,-1,0,2020-01-04
2020-01-05 14:30:00,2020-01-05 16:30:00,2.0,260,15,2,255,8,1,1,7,0,2020-01-05
2020-01-05 21:00:00,2020-01-06 21:00:00,24.0,260,15,1,255,17,1,0,-2,0,2020-01-05
2020-01-06 01:00:00,2020-02-06 01:00:00,744.0,260,20,1,224,10,1,0,10,2,2020-01-06
2020-01-06 07:20:00,2020-01-07 07:20:00,24.0,260,20,7,255,13,4,3,7,2,2020-01-06
2020-01-06 07:30:00,2020-01-10 22:30:00,111.0,260,20,7,255,10,1,6,10,2,2020-01-06
2020-01-06 07:35:00,2020-01-07 07:35:00,24.0,260,20,7,255,13,4,3,7,2,2020-01-06
2020-01-06 08:00:00,2020-01-07 08:00:00,24.0,260,20,7,255,13,5,2,7,2,2020-01-06
2020-01-06 08:15:00,2020-01-07 08:15:00,24.0,260,20,7,255,13,5,2,7,2,2020-01-06
2020-01-06 08:35:00,2020-01-07 08:35:00,24.0,260,20,7,255,13,5,2,7,2,2020-01-06
2020-01-06 08:40:00,2020-01-07 08:40:00,24.0,260,20,7,255,13,5,2,7,2,2020-01-06
2020-01-06 09:10:00,2020-01-07 09:10:00,24.0,260,20,3,255,13,2,1,7,2,2020-01-06
2020-01-06 09:25:00,2020-01-06 13:25:00,4.0,260,20,3,255,17,1,2,3,2,2020-01-06
2020-01-06 09:25:00,2020-01-07 09:25:00,24.0,260,20,3,255,13,2,1,7,2,2020-01-06
2020-01-06 17:50:00,2020-01-09 17:50:00,72.0,260,20,1,255,13,1,0,7,2,2020-01-06
2020-01-07 07:15:00,2020-01-08 07:15:00,24.0,260,15,3,255,20,3,0,-5,0,2020-01-07
2020-01-07 07:55:00,2020-01-08 07:55:00,24.0,260,15,3,255,20,3,0,-5,0,2020-01-07
2020-01-07 08:30:00,2020-01-08 08:30:00,24.0,260,15,7,255,20,8,-1,-5,0,2020-01-07
2020-01-07 08:30:00,2020-01-08 08:30:00,24.0,260,15,7,255,20,8,-1,-5,0,2020-01-07
2020-01-07 08:45:00,2020-01-08 08:45:00,24.0,260,15,7,255,20,8,-1,-5,0,2020-01-07
2020-01-07 09:40:00,2020-01-08 09:40:00,24.0,260,15,4,255,20,3,1,-5,0,2020-01-07
2020-01-08 06:55:00,2020-01-09 06:55:00,24.0,260,17,1,255,13,1,0,4,1,2020-01-08
2020-01-08 07:25:00,2020-01-09 07:25:00,24.0,260,17,5,255,13,2,3,4,1,2020-01-08
2020-01-08 07:40:00,2020-01-11 07:40:00,72.0,260,17,5,255,3,1,4,14,1,2020-01-08
2020-01-08 08:10:00,2020-01-09 08:10:00,24.0,260,17,4,255,13,4,0,4,1,2020-01-08
2020-01-08 08:30:00,2020-01-09 08:30:00,24.0,260,17,4,255,13,4,0,4,1,2020-01-08
2020-01-08 08:35:00,2020-01-09 08:35:00,24.0,260,17,4,255,13,4,0,4,1,2020-01-08
2020-01-08 09:35:00,2020-01-09 09:35:00,24.0,260,17,2,255,13,1,1,4,1,2020-01-08
2020-01-08 12:35:00,2020-01-08 17:35:00,5.0,260,17,2,255,20,1,1,-3,1,2020-01-08
2020-01-08 13:15:00,2020-01-08 14:15:00,1.0,260,17,1,255,20,1,0,-3,1,2020-01-08
2020-01-09 07:15:00,2020-01-10 07:15:00,24.0,260,10,1,255,10,1,0,0,0,2020-01-09
2020-01-09 08:20:00,2020-01-10 08:20:00,24.0,260,10,3,255,10,3,0,0,0,2020-01-09
2020-01-09 08:30:00,2020-01-10 08:30:00,24.0,260,10,3,255,10,3,0,0,0,2020-01-09
2020-01-09 09:30:00,2020-01-10 09:30:00,24.0,260,10,1,255,10,1,0,0,0,2020-01-09
