didok;stationsbezeichnung;parkrail_anzahl;parkrail_preis_tag;parkrail_preis_monat;parkrail_preis_jahr;parkrail_pflichtig_zeit1;parkrail_pflichtig_zeit2;parkrail_pflichtig_zeit3;parkrail_bemerkung;railtaxitext;railtaxiinfo;mietvelo_bezeichnung;mietvelo_anzahl;mietvelo_bemerkung;veloparking_status_d;veloparking_bemerkung_d;veloparking_abschliessbar;veloparking_abschliessbar_text;carsharing standort_bezeichnung;parkrail_App;parkrail_Webshop;parkrail_Lokal;BPUIC;Name Haltestelle;lod;geopos;plz;meteo;tu-nummer;Abkuerzung Bahnhof
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Central Bahnparking;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Comfortbike;4.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindervelo;5.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Mountainbike;8.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kindertrailer;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Tandem;2.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Badischer Bahnhof;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Kinderanhänger;1.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Solothurnerstrasse;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Countrybike;36.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
10;Basel SBB;;;;;;;;Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel";Elektrovelo;10.0;"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos";Immer genügend Veloabstellplätze verfügbar;;1;Velostation https://www.velostation.ch/velostationen/basel-3/;Basel Bahnhof SBB / Parkhaus Bahnhof Süd;0;0;1;8500010;Basel SBB;http://lod.opentransportdata.swiss/didok/8500010;47.5474120551,7.58956279016;4053;https://meteo.sbb.ch/?didok=8500010;11;BS
